word,meaning,children,parent,related,images,reference
กกเสา,น. ส่วนของเสาที่อยู่ติดกับพื้นเรือน เช่น นั่งพิงกกเสา.,,กก ๒,,,
กกหู,น. บริเวณโคนหูส่วนหลังที่ติดกับศีรษะ.,,กก ๒,,,
ก๊ก,"น. พวก, หมู่, เหล่า, โดยปรกติมักใช้เข้าคู่กันว่า เป็นก๊กเป็นพวก เป็นก๊กเป็นหมู่ เป็นก๊กเป็นเหล่า. (จ. ว่า ประเทศ).",,,,,
กกช้าง,"น. ชื่อไม้ล้มลุกชนิด **Typha angustifolia** L. ในวงศ์ Typhaceae ขึ้นในนํ้า ช่อดอกคล้ายธูปขนาดใหญ่, กกธูป ธูปฤๅษี ปรือ หรือ เฟื้อ ก็เรียก.",,,,,
กกธูป,**ดู กกช้าง** .,,,กกช้าง,,
กกุธภัณฑ์,[กะกุดทะ-] น. สัญลักษณ์สำคัญแห่งความเป็นพระมหากษัตริย์ คือ ๑. พระมหาพิชัยมงกุฎ ๒. พระแสงขรรค์ชัยศรี ๓. ธารพระกรชัยพฤกษ์ ๔. วาลวีชนี (พัดกับแส้) ๕. ฉลองพระบาท รวมเรียกว่าเบญจราชกกุธภัณฑ์ ทั้งนี้ บางสมัยใช้เครื่องราชกกุธภัณฑ์แตกต่างกัน เช่น ใช้ฉัตรแทนพระมหาพิชัยมงกุฎ.(ป. กกุธ ว่า เครื่องหมายความเป็นพระราชา + ภณฺฑ ว่า ของใช้; ระบุไว้ในอภิธานัปปทีปิกา คาถาที่ ๓๕๘ ว่า พระขรรค์ ฉัตร อุณหิส ฉลองพระบาท วาลวีชนี คือ มีฉัตรแทนธารพระกร; ในจดหมายเหตุบรมราชาภิเษก รัชกาลที่ ๒ มีทั้งฉัตรและธารพระกร พระแสงขรรค์ พระแสงดาบ วาลวีชนี พระมหาพิชัยมงกุฎ และฉลองพระบาท รวมเป็น ๗ สิ่ง.วาลวีชนี ที่ปรากฏวัตถุเป็นพัดกับแส้จามรีนั้น แต่ก่อนเป็นพัดใบตาลอย่างที่เรียกว่า พัชนีฝักมะขาม ต่อมาท่านเห็นควรเป็นแส้จามรีจะถูกกว่า เพราะศัพท์ว่าวาลวีชนี หมายความเป็นแส้ขนโคชนิดหนึ่ง จึงสร้างแส้จามรีขึ้น แต่ก็ไม่อาจเลิกพัดใบตาลของเก่า เป็นอันรวมไว้ทั้ง ๒ อย่างในเครื่องที่เรียกว่า วาลวีชนี). (ป. กกุธ ว่า เครื่องหมายความเป็นพระราชา + ภณฺฑ ว่า ของใช้; ระบุไว้ในอภิธานัปปทีปิกา คาถาที่ ๓๕๘ ว่า พระขรรค์ ฉัตร อุณหิส ฉลองพระบาท วาลวีชนี คือ มีฉัตรแทนธารพระกร; ในจดหมายเหตุบรมราชาภิเษก รัชกาลที่ ๒ มีทั้งฉัตรและธารพระกร พระแสงขรรค์ พระแสงดาบ วาลวีชนี พระมหาพิชัยมงกุฎ และฉลองพระบาท รวมเป็น ๗ สิ่ง.วาลวีชนี ที่ปรากฏวัตถุเป็นพัดกับแส้จามรีนั้น แต่ก่อนเป็นพัดใบตาลอย่างที่เรียกว่า พัชนีฝักมะขาม ต่อมาท่านเห็นควรเป็นแส้จามรีจะถูกกว่า เพราะศัพท์ว่าวาลวีชนี หมายความเป็นแส้ขนโคชนิดหนึ่ง จึงสร้างแส้จามรีขึ้น แต่ก็ไม่อาจเลิกพัดใบตาลของเก่า เป็นอันรวมไว้ทั้ง ๒ อย่างในเครื่องที่เรียกว่า วาลวีชนี).,,,,picture/26_bor_ben-ja-rach-kud-thun.jpg,
กง ๑,น. เรียกคำหรือพยางค์ที่มีตัว ง สะกด ว่า มาตรากงหรือแม่กง.,,,,,
กง ๒,"(๑) น. วง, ส่วนรอบของล้อเกวียนหรือล้อรถม้าเป็นต้น, เรียกสิ่งที่มีลักษณะคล้ายคลึงเช่นนั้น เช่น ขนมกง, บางทีก็ใช้เข้าคู่กับคำ วง ว่า เป็นวงเป็นกง (ไทยสิบสองปันนาและสิบสองจุไทย กง ว่า ขอบเขตที่ล้อม เช่น ดินกง คือ ดินที่ล้อมเป็นขอบเขตไว้, ร่ายกง คือ ไร่ที่ล้อมเป็นขอบเขตไว้). (๒) น. ไร่ล้มลุกที่ถางป่าเป็นหย่อม ๆ ตามเนื้อที่และกั้นเป็นขอบเขตไว้. (ไทยสิบสองปันนาและสิบสองจุไทย กง ว่า ขอบเขตที่ล้อม เช่น ดินกง คือ ดินที่ล้อมเป็นขอบเขตไว้, ร่ายกง คือ ไร่ที่ล้อมเป็นขอบเขตไว้). (๓)  (กลอน) ก. แวดล้อม เช่น ม้ากันม้ากง. (ไทยสิบสองปันนาและสิบสองจุไทย กง ว่า ขอบเขตที่ล้อม เช่น ดินกง คือ ดินที่ล้อมเป็นขอบเขตไว้, ร่ายกง คือ ไร่ที่ล้อมเป็นขอบเขตไว้).","กงจักร, กงพัด ๑, กงพัด ๒, กงเกวียน, กงเกวียนกำเกวียน, กงเวียน",,,,
กง ๓,"(๑) น. ไม้รูปโค้งที่ตั้งเป็นโครงเรือ (เทียบ ม. กง และ ต. กง, ในความเดียวกัน) (๒) น. ไม้สำหรับดีดฝ้าย มีรูปเหมือนคันธนู เรียกว่า ไม้กง หรือ ไม้กงดีดฝ้าย (เทียบอะหม ไม้กงดีดฝ้าย และ คันกระสุน ว่า กง; พายัพ ว่า โก๋ง ได้แก่ คันกระสุน), เสลี่ยงที่มีพนักโค้งเหมือนกงเรือ เรียกว่า เสลี่ยงกง.","กงข้าง, กงค้าง, กงวาน",,,,
กง ๔,น. ปลามังกง. (ประถม ก กา ในจินดามณี).,,,,,
กง ๕,"น. **ดู จงโคร่ง, โจงโคร่ง** .",,,"จงโคร่ง, โจงโคร่ง",,
กงเกวียน,น. ล้อเกวียน.,,กง ๒,,,
กงเกวียนกำเกวียน,"(สำ) ใช้เป็นคำอุปมาหมายความว่า เวรสนองเวร, กรรมสนองกรรม, เช่น ทำแก่เขาอย่างไร ตนหรือลูกหลานเป็นต้นของตนก็อาจจะถูกทำในทำนองเดียวกันอย่างนั้นบ้าง เป็นกงเกวียนกำเกวียน.",,กง ๒,,,
กงจักร,น. สิ่งที่มีรูปเป็นวงกลม มีริมเป็นแฉก ๆ โดยรอบ.,,กง ๒,,,
กงพัด ๑,"(๑) น. กงสำหรับพัด เป็นรูปใบพัดที่หมุนได้ เช่น กงพัดสีลม กงพัดเครื่องสีฝัด กงพัดเครื่องระหัด (๒) น. ประตูหมุน (๓) น. เครื่องมือชนิดหนึ่งเป็นไม้ยาวประมาณ ๕๐ เซนติเมตร เจาะรูหัวท้าย ใส่ไม้ขวาง สำหรับพัดด้าย. (๔) น. ไม้เหลี่ยมสอดในรูซึ่งเจาะที่โคนเสาเรือน ปลายทั้ง ๒ ยื่นออกมาวางอยู่บนหมอน (ซึ่งเรียกว่า งัว) ข้างละต้น, หรือถ้าไม่เจาะรู ก็ใช้เป็น ๒ อัน ตีขวางขนาบโคนเสาข้างละอันวางอยู่บนหมอนเหมือนกัน เพื่อกันทรุด.",,กง ๒,,,
กงเวียน,"(โบ) น. เครื่องมือสำหรับเขียนวงกลม ส่วนโค้งของวงกลม หรือกะระยะ ทำด้วยโลหะ มี ๒ ขา ปลายข้างหนึ่งแหลม ปลายอีกข้างหนึ่งมีดินสอเป็นต้น อีกแบบหนึ่งมีปลายแหลมทั้ง ๒ ข้าง แบบหลังนี้ใช้สำหรับเขียนบนโลหะก็ได้, กางเวียน ก็ว่า, ปัจจุบันเรียกว่า วงเวียน.",,กง ๒,,,
"กงข้าง, กงค้าง",น. กงที่ตรึงข้างไม่ถึงท้องเรือสลับกับกงวาน. (ตำนานภาษีอากร).,,กง ๓,,,
"กงข้าง, กงค้าง",น. กงที่ตรึงข้างไม่ถึงท้องเรือสลับกับกงวาน. (ตำนานภาษีอากร).,,กง ๓,,,
กงวาน,น. กงที่มีรูสำหรับนํ้าเดินที่ท้องเรือ เช่น สำเภาลำใดของพาณิชซึ่งจะตกแต่งต่อติดเป็นกงวาน (ม. ร่ายยาว กุมาร).,,กง ๓,,,
ก่ง,"(๑) ก. ทำให้งอเป็นรูปโค้ง, ทำให้โค้ง, เช่น ก่งศร ก่งคอ, โก่ง ก็ว่า. (๒) ว. โค้ง เช่น คิ้วก่ง, โก่ง ก็ว่า.",,,,,
ก้ง,"(ถิ่น-พายัพ) ว. ลาย, ด่าง, เช่น แมวก้ง ผ้าตาก้ง (คือ ผ้าตาโต ๆ ที่มีสีต่าง ๆ กัน).",,,,,
ก๊ง,(๑)  (ปาก) ก. ดื่ม (ใช้แก่เหล้า) เช่น ก๊งเหล้า. (จ.). (๒)  (ปาก) น. หน่วยตวงเหล้าโรงเป็นต้นตามวิธีประเพณี ๑ ก๊ง เท่ากับ ๕๐ ลูกบาศก์เซนติเมตร. (จ.).,,,,,
กงกอน,**ดู โกงกาง** .,,,โกงกาง,,
กงการ,"(ปาก) น. กิจการ, หน้าที่, ธุระ, เช่น กงการอะไรของคุณ ไม่ใช่กงการของฉัน.",,,,,
กงโก้,"(๑)  (ปาก) ว. โก่ง ๆ โค้ง ๆ เช่น ยืนกงโก้, หลังโกงไม่น่าดู เช่น ผอมกงโก้ (๒) ว. เกะกะไม่เรียบร้อย เช่น กงโก้กงกก (๓) ว. โกงโก้ ก็ว่า.",,,,,
ก้งโค้ง,"ก. โก่งก้นให้โด่ง, โน้มตัวลงยกก้นให้สูงขึ้น, โก้งโค้ง ก็ว่า.",,,,,
กงฉาก,น. เครื่องมือทางช่างชนิดหนึ่ง สำหรับหามฉากในการปักผังหรือกำหนดผังเสา โดยใช้ไม้แบนที่มีความยาวพอสมควรมาประกอบให้เป็นมุม ๙๐ องศา แล้วยึดปลายทั้ง ๒ ข้างด้วยไม้อีกชิ้นหนึ่ง.,,,,,
"ก้งฉ่าย, ก๊งฉ่าย",น. ผักกาดเขียวปลีดองหวาน. (จ.).,,,,,
"ก้งฉ่าย, ก๊งฉ่าย",น. ผักกาดเขียวปลีดองหวาน. (จ.).,,,,,
กงเต๊ก,น. การทำบุญให้แก่ผู้ตายตามพิธีของนักบวชนิกายจีนและญวน มีการสวดและเผากระดาษที่ทำเป็นรูปต่าง ๆ มีบ้านเรือน คนใช้ เป็นต้น. (จ. ว่า บุญคุณ).,,,,,
กงสี,"น. ของกองกลางที่ใช้รวมกันสำหรับคนหมู่หนึ่ง ๆ, หุ้นส่วน, บริษัท. (จ. กงซี ว่า บริษัททำการค้า, กิจการที่จัดเป็นสาธารณะ).",,,,,
กงสุล,(กฎ) น. ชื่อตำแหน่งของบุคคลซึ่งรัฐบาลของประเทศหนึ่งแต่งตั้งให้เป็นผู้แทนประจำอยู่ในเมืองต่าง ๆ ของอีกประเทศหนึ่ง เพื่อทำหน้าที่ช่วยเหลือคนชาติของตนและดูแลผลประโยชน์ทั่วไปของประเทศของตน.,,,,,
"กช, กช-","[กด, กดชะ-]  (กลอน; ตัดมาจาก บงกช) น. ดอกบัว เช่น ดุจบัวอันบานชู กชกรรณิกามาศ (สมุทรโฆษ), โดยมากใช้เข้าคู่กับคำ กร เป็น กรกช เช่น กรกชชุลีคัล (อิเหนาคำฉันท์). (ป. ปงฺกช).",กชกร,,,,
"กช, กช-","[กด, กดชะ-]  (กลอน; ตัดมาจาก บงกช) น. ดอกบัว เช่น ดุจบัวอันบานชู กชกรรณิกามาศ (สมุทรโฆษ), โดยมากใช้เข้าคู่กับคำ กร เป็น กรกช เช่น กรกชชุลีคัล (อิเหนาคำฉันท์). (ป. ปงฺกช).",กชกร,,,,
กชกร,[กดชะกอน]  (กลอน) น. “ดอกบัวคือมือ” คือ กระพุ่มมือ เช่น กชกรต่างแต่งตั้ง ศิรสา (หริภุญชัย).,,"กช, กช-",,,
กฎ,"(๑)  [กด]  (โบ) ก. จดไว้เป็นหลักฐาน เช่น ให้นายยกกระบัตรกฎปากหลากคำไว้ (กฎหมายอายัดทาส), ตรา เช่น ตรัสแก่ขุนศรีภูริปรีชาให้กฎเป็นตำราไว้ (อัยการเบ็ดเสร็จ), พระมหาธรรมราชาก็ตรัสให้กฎลงมาให้เอาพระยารามเป็นพระยาพิชัย (พงศ. ๑๑๓๖). (เทียบ ข. กต่ ว่า จด). (อ. law). (๒)  [กด]  (โบ) น. คำบังคับ เช่น จึ่งสมเด็จพระมหินทราธิราชเจ้าแผ่นดินก็ตรัสให้ทำตามกฎให้ลงมานั้นทุกประการ (พงศ. ๑๑๓๖) (อ. law). (๓)  (กฎ) ข้อกำหนดหรือข้อบัญญัติที่บังคับให้ต้องมีการปฏิบัติตาม เช่น พระราชกฤษฎีกา กฎกระทรวง ประกาศกระทรวง (อ. law). (๔)  (วิทยา) ข้อกำหนดในเรื่องธรรมชาติตามที่ค้นคว้าได้. (อ. law).","กฎกระทรวง, กฎข้อบังคับ, กฎทบวง, กฎธรรมชาติ, กฎธรรมดา, กฎบัตร, กฎบัตรกฎหมาย, กฎบัตรสหประชาชาติ, กฎมณเฑียรบาล, กฎมณเฑียรบาลว่าด้วยการสืบราชสันตติวงศ์, กฎมณเทียรบาล, กฎมนเทียรบาล, กฎศีลธรรม, กฎหมู่, กฎอัยการศึก, กฎเกณฑ์, กฎเสนาบดี, กฎแห่งกรรม",,,,
กฎกระทรวง,"(กฎ) น. ข้อกำหนดที่รัฐมนตรีว่าการกระทรวงออกโดยอาศัยอำนาจตามกฎหมายที่ให้ออกกฎกระทรวง, เดิมเรียกว่า กฎเสนาบดี ถ้าเป็นข้อกำหนดที่นายกรัฐมนตรีออก เรียกว่า กฎสำนักนายกรัฐมนตรี.",,กฎ,,,
กฎเกณฑ์,"น. ข้อกำหนดที่วางไว้เป็นหลักให้ปฏิบัติ, หลักเกณฑ์.",,กฎ,,,
กฎข้อบังคับ,(กฎ) น. ข้อกำหนดที่กำหนดไว้เป็นแนวทางหรือระเบียบในการปฏิบัติหรือดำเนินการตามกฎหมาย.,,กฎ,,,
กฎทบวง,(กฎ) น. ข้อกำหนดที่รัฐมนตรีว่าการทบวงออกโดยอาศัยอำนาจตามกฎหมายที่ให้ออกกฎทบวง.,,กฎ,,,
กฎธรรมชาติ,น. ความเป็นไปตามธรรมชาติของสิ่งทั้งหลาย.,,กฎ,,,
กฎธรรมดา,น. ความเป็นไปตามปรกติวิสัยของมนุษย์และสังคม.,,กฎ,,,
กฎบัตร,(กฎ) น. ตราสารที่จัดตั้ง จัดระเบียบ และกำหนดอำนาจหน้าที่ขององค์การ.,,กฎ,,,
กฎบัตรกฎหมาย,"(ปาก) น. กระบวนกฎหมาย, เชิงกฎหมาย.",,กฎ,,,
กฎบัตรสหประชาชาติ,(กฎ) น. ตราสารที่สถาปนาและจัดระเบียบองค์การสหประชาชาติ.,,กฎ,,,
"กฎมณเฑียรบาล, กฎมณเทียรบาล",(โบ) น. กฎมนเทียรบาล.,,กฎ,,,
"กฎมณเฑียรบาล, กฎมณเทียรบาล",(โบ) น. กฎมนเทียรบาล.,,กฎ,,,
กฎมณเฑียรบาลว่าด้วยการสืบราชสันตติวงศ์,(กฎ) น. กฎหมายที่วางหลักเกณฑ์เกี่ยวกับการสืบราชสมบัติ.,,กฎ,,,
กฎมนเทียรบาล,"(กฎ) น. ข้อบัญญัติพิเศษเกี่ยวกับพระราชฐาน พระราชวงศ์ และระเบียบการปกครองในราชสำนัก, โบราณใช้ว่า กฎมณเฑียรบาล หรือ กฎมณเทียรบาล ก็มี.",,กฎ,,,
กฎศีลธรรม,น. กฎว่าด้วยการกระทำที่ถูกต้องและไม่ถูกต้องทางศีลธรรม.,,กฎ,,,
กฎเสนาบดี,(กฎ) **ดู กฎกระทรวง** .,,กฎ,กฎกระทรวง,,
กฎหมู่,(กฎ) น. การกดดันที่บุคคลจำนวนมากนำมาใช้บีบบังคับให้อีกฝ่ายหนึ่งกระทำหรือเว้นกระทำอย่างใดอย่างหนึ่ง (มักไม่เป็นไปตามตัวบทกฎหมาย).,,กฎ,,,
กฎแห่งกรรม,น. กฎว่าด้วยกรรมและผลแห่งกรรมที่ผู้กระทำจักต้องได้รับ.,,กฎ,,,
กฎอัยการศึก,(กฎ) น. กฎหมายที่ให้อำนาจเจ้าหน้าที่ฝ่ายทหารลิดรอนสิทธิเสรีภาพบางประการของประชาชนได้ตามความจำเป็น ทั้งให้มีอำนาจหน้าที่เหนือเจ้าหน้าที่ฝ่ายพลเรือนในส่วนที่เกี่ยวกับการยุทธ การระงับปราบปรามหรือการรักษาความสงบเรียบร้อย และศาลทหารมีอำนาจพิจารณาพิพากษาคดีอาญาบางอย่างที่ประกาศระบุไว้แทนศาลพลเรือน การใช้กฎอัยการศึกจะกระทำได้เมื่อมีเหตุจำเป็นเพื่อรักษาความสงบเรียบร้อยในบ้านเมือง เช่น ในกรณีเกิดสงคราม การจลาจล โดยจะให้มีผลบังคับทุกท้องที่หรือบางท้องที่ก็ได้ตามความจำเป็น.,,กฎ,,,
กฎหมาย,"(๑)  (กฎ) น. กฎเกณฑ์ที่ผู้มีอำนาจตราขึ้นเพื่อใช้บังคับบุคคลให้ปฏิบัติตามเป็นการทั่วไป ผู้ใดไม่ปฏิบัติตามย่อมได้รับผลร้าย กฎหมายอาจตราขึ้นเพื่อกำหนดระเบียบแห่งความสัมพันธ์ระหว่างบุคคลหรือระหว่างบุคคลกับรัฐ หรือเพื่อใช้ในการบริหารประเทศ กฎหมายอาจเกิดจากจารีตประเพณีอันเป็นที่ยอมรับนับถือกันก็ได้. (๒)  (โบ) ก. จดบันทึกไว้เป็นหลักฐาน เช่น สั่งให้นายอินกฎหมายผู้มีชื่อทั้งนี้ไว้ (พงศ. อยุธยา), ทำหนังสือเป็นหลักฐาน เช่น อนึ่ง มีผู้ทำหนังสือร้องเรียนกฎหมายว่า…(พระราชกำหนดเก่า) (๓) ก. ออกหมายกำหนด เช่น ให้มหาดไทยกลาโหมกฎหมายบอกแก่ตระลาการ ถ้ากฎหมายมิทั่ว จะเอาตัวผู้กฎหมายลงโทษ (พระราชกำหนดเก่า),กฎหมายงานพระบรมศพครั้งกรุงเก่า (๔) ก. ตราสั่ง เช่น จึ่งกฎหมายให้สามไป เดือนหนึ่งจอมไตร ดำรัสให้เร่งคืนมา (พากย์) (๕) ก. กำหนดขีดขั้น เช่น ให้ปลูกโรงรจนาใน นอกหน้าศาลชัย ให้ตั้งพิกัดกฎหมาย (พากย์).","กฎหมายตราสามดวง, กฎหมายปกครอง, กฎหมายปิดปาก, กฎหมายพาณิชย์, กฎหมายมหาชน, กฎหมายระหว่างประเทศ, กฎหมายรัฐธรรมนูญ, กฎหมายอาญา, กฎหมายเหตุ, กฎหมายเอกชน, กฎหมายแพ่ง",,,,
กฎหมายตราสามดวง,(กฎ) น. ประมวลกฎหมายโบราณของไทยซึ่งพระบาทสมเด็จพระพุทธยอดฟ้าจุฬาโลกมหาราช ได้โปรดเกล้าฯ ให้ชำระและปรับปรุงแก้ไขตัวบทกฎหมายต่าง ๆ ที่ใช้กันมาตั้งแต่สมัยอยุธยาจนถึงต้นรัตนโกสินทร์ เมื่อทำเสร็จแล้วได้ประทับดวงตราพระราชสีห์ พระคชสีห์ และบัวแก้ว ไว้เป็นสำคัญ จึงเรียกว่า กฎหมายตราสามดวง.,,กฎหมาย,,,
กฎหมายปกครอง,(กฎ) น. กฎหมายสาขาหนึ่งของกฎหมายมหาชนที่วางหลักเกี่ยวกับการจัดระเบียบในทางปกครองของรัฐ และการดำเนินกิจกรรมของฝ่ายปกครองในการจัดทำบริการสาธารณะ รวมทั้งวางหลักความเกี่ยวพันในทางปกครองระหว่างฝ่ายปกครองกับเอกชน.,,กฎหมาย,,,
กฎหมายปิดปาก,(กฎ) น. หลักกฎหมายที่ไม่ยอมให้อ้างหรือพิสูจน์ข้อเท็จจริงให้ผิดไปจากข้อเท็จจริงที่ปรากฏตามพฤติการณ์ ไม่ว่าข้อเท็จจริงที่ปรากฏนั้นจะเป็นจริงหรือไม่ก็ตาม.,,กฎหมาย,,,
กฎหมายพาณิชย์,(กฎ) น. กฎหมายที่วางระเบียบความเกี่ยวพันทางการค้าหรือธุรกิจระหว่างบุคคล เช่น กฎหมายว่าด้วยการซื้อขาย การเช่าทรัพย์ การจำนอง การจำนำ ตั๋วเงิน หุ้นส่วน บริษัท.,,กฎหมาย,,,
กฎหมายแพ่ง,(กฎ) น. กฎหมายที่วางระเบียบความเกี่ยวพันระหว่างบุคคลเกี่ยวกับสถานภาพ สิทธิ และหน้าที่ของบุคคลตามกฎหมาย เช่น กฎหมายว่าด้วยนิติกรรม ละเมิด ทรัพย์สิน ครอบครัว มรดก.,,กฎหมาย,,,
กฎหมายมหาชน,(กฎ) น. กฎหมายที่วางระเบียบโครงสร้างและการปกครองของรัฐหรือการบริหารราชการแผ่นดิน รวมตลอดทั้งความเกี่ยวพันระหว่างรัฐกับเอกชน เช่น กฎหมายรัฐธรรมนูญ กฎหมายอาญา กฎหมายปกครอง.,,กฎหมาย,,,
กฎหมายระหว่างประเทศ,(กฎ) น. หลักกฎหมายหรือหลักปฏิบัติที่ยอมรับกันว่าด้วยรัฐและความเกี่ยวพันระหว่างรัฐ รวมทั้งความเกี่ยวพันระหว่างรัฐกับองค์การระหว่างประเทศและประชาคมระหว่างประเทศ.,,กฎหมาย,,,
กฎหมายรัฐธรรมนูญ,(กฎ) น. กฎหมายที่วางระเบียบการปกครองรัฐในทางการเมือง โดยกำหนดโครงสร้างของรัฐ ระบอบการปกครอง การใช้อำนาจอธิปไตย การคุ้มครองสิทธิและเสรีภาพของประชาชน และความสัมพันธ์ระหว่างสถาบันที่ใช้อำนาจอธิปไตย.,,กฎหมาย,,,
กฎหมายเหตุ,(๑) น. จดหมายเหตุ. (พงศ. ประเสริฐ) (๒)  (โบ) น. กฎเกณฑ์การปฏิบัติที่ตราขึ้นหรือเนื่องจากประเพณีซึ่งมีค่าบังคับ.,,กฎหมาย,,,
กฎหมายอาญา,(กฎ) น. กฎหมายที่กำหนดลักษณะของการกระทำที่ถือว่าเป็นความผิด และกำหนดบทลงโทษทางอาญาสำหรับความผิดนั้น.,,กฎหมาย,,,
กฎหมายเอกชน,(กฎ) น. กฎหมายที่วางระเบียบความเกี่ยวพันระหว่างเอกชนหรือระหว่างเอกชนกับรัฐ ในฐานะที่รัฐดำเนินการอย่างเอกชนเกี่ยวกับสถานภาพของบุคคลตามกฎหมาย สิทธิและหน้าที่ของเอกชน รวมทั้งวางระเบียบเกี่ยวกับทรัพย์สินของเอกชน เช่น กฎหมายแพ่ง กฎหมายพาณิชย์.,,กฎหมาย,,,
กฏิ,(แบบ) น. สะเอว. (ป.).,,,,,
"กฏุก, กฏุก-","[กะตุก, กะตุกะ-] ว. เผ็ด, เผ็ดร้อน, เช่น ตรีกฏุก หมายถึงเครื่องยาที่เผ็ดร้อนรวม ๓ อย่าง คือ พริกไทย ดีปลี ขิงแห้ง. (ป.).",กฏุกผล,,,,
"กฏุก, กฏุก-","[กะตุก, กะตุกะ-] ว. เผ็ด, เผ็ดร้อน, เช่น ตรีกฏุก หมายถึงเครื่องยาที่เผ็ดร้อนรวม ๓ อย่าง คือ พริกไทย ดีปลี ขิงแห้ง. (ป.).",กฏุกผล,,,,
กฏุกผล,[กะตุกะผน]  (แบบ) น. ผลอันเผ็ดร้อน. (ชุมนุมตำรากลอน ปาราชิตฉันท์).,,"กฏุก, กฏุก-",,,
